Option,Score,Trial
linear,1.0,0
poly,0.9938208032955715,0
rbf,0.9969104016477858,0
sigmoid,0.9433573635427395,0
linear,1.0,1
poly,0.9866117404737385,1
rbf,0.9927909371781668,1
sigmoid,0.9783728115345005,1
linear,1.0,2
poly,0.9907312049433573,2
rbf,0.995880535530381,2
sigmoid,0.952626158599382,2
linear,1.0,3
poly,0.995880535530381,3
rbf,0.9989701338825953,3
sigmoid,0.9598352214212152,3
linear,1.0,4
poly,0.9927909371781668,4
rbf,0.9979402677651905,4
sigmoid,0.9536560247167868,4
linear,1.0,5
poly,0.9886714727085479,5
rbf,0.9969104016477858,5
sigmoid,0.94129763130793,5
linear,1.0,6
poly,0.9948506694129763,6
rbf,0.9948506694129763,6
sigmoid,0.9515962924819773,6
linear,1.0,7
poly,0.9969104016477858,7
rbf,0.995880535530381,7
sigmoid,0.945417095777549,7
linear,1.0,8
poly,0.9886714727085479,8
rbf,0.9927909371781668,8
sigmoid,0.9433573635427395,8
linear,1.0,9
poly,0.995880535530381,9
rbf,0.995880535530381,9
sigmoid,0.9639546858908342,9
linear,1.0,10
poly,0.9876416065911432,10
rbf,0.9979402677651905,10
sigmoid,0.964984552008239,10
linear,1.0,11
poly,0.9938208032955715,11
rbf,0.995880535530381,11
sigmoid,0.9577754891864058,11
linear,1.0,12
poly,0.9948506694129763,12
rbf,0.9969104016477858,12
sigmoid,0.9546858908341915,12
linear,1.0,13
poly,0.9938208032955715,13
rbf,0.9989701338825953,13
sigmoid,0.9618949536560247,13
linear,1.0,14
poly,0.9897013388259527,14
rbf,0.995880535530381,14
sigmoid,0.9732234809474768,14
linear,1.0,15
poly,0.9989701338825953,15
rbf,0.9938208032955715,15
sigmoid,0.9515962924819773,15
linear,1.0,16
poly,0.995880535530381,16
rbf,0.9969104016477858,16
sigmoid,0.9505664263645726,16
linear,1.0,17
poly,0.9917610710607621,17
rbf,0.9917610710607621,17
sigmoid,0.964984552008239,17
linear,1.0,18
poly,0.9907312049433573,18
rbf,0.9948506694129763,18
sigmoid,0.9433573635427395,18
linear,1.0,19
poly,0.9897013388259527,19
rbf,0.9938208032955715,19
sigmoid,0.9680741503604532,19
linear,1.0,20
poly,0.9917610710607621,20
rbf,0.9969104016477858,20
sigmoid,0.9588053553038105,20
linear,1.0,21
poly,0.9938208032955715,21
rbf,0.995880535530381,21
sigmoid,0.9423274974253347,21
linear,1.0,22
poly,0.9969104016477858,22
rbf,0.9938208032955715,22
sigmoid,0.9351184346035015,22
linear,1.0,23
poly,0.9907312049433573,23
rbf,0.995880535530381,23
sigmoid,0.9382080329557158,23
linear,1.0,24
poly,0.9897013388259527,24
rbf,0.9917610710607621,24
sigmoid,0.9464469618949537,24
linear,1.0,25
poly,0.9907312049433573,25
rbf,0.9948506694129763,25
sigmoid,0.952626158599382,25
linear,1.0,26
poly,1.0,26
rbf,0.9979402677651905,26
sigmoid,0.937178166838311,26
linear,1.0,27
poly,0.984552008238929,27
rbf,0.9979402677651905,27
sigmoid,0.952626158599382,27
linear,1.0,28
poly,0.9927909371781668,28
rbf,0.9917610710607621,28
sigmoid,0.9701338825952626,28
linear,1.0,29
poly,0.9989701338825953,29
rbf,0.9979402677651905,29
sigmoid,0.9639546858908342,29
linear,1.0,30
poly,0.9938208032955715,30
rbf,0.9989701338825953,30
sigmoid,0.964984552008239,30
linear,1.0,31
poly,0.9938208032955715,31
rbf,0.9969104016477858,31
sigmoid,0.94129763130793,31
linear,1.0,32
poly,0.9927909371781668,32
rbf,0.9927909371781668,32
sigmoid,0.964984552008239,32
linear,1.0,33
poly,0.9907312049433573,33
rbf,0.9969104016477858,33
sigmoid,0.9691040164778579,33
linear,1.0,34
poly,0.9927909371781668,34
rbf,0.9938208032955715,34
sigmoid,0.9629248197734295,34
linear,1.0,35
poly,0.9897013388259527,35
rbf,0.9969104016477858,35
sigmoid,0.9773429454170958,35
linear,1.0,36
poly,0.9866117404737385,36
rbf,1.0,36
sigmoid,0.9701338825952626,36
linear,1.0,37
poly,0.9969104016477858,37
rbf,0.9948506694129763,37
sigmoid,0.9433573635427395,37
linear,1.0,38
poly,0.9927909371781668,38
rbf,0.9989701338825953,38
sigmoid,0.9495365602471678,38
linear,1.0,39
poly,0.9917610710607621,39
rbf,0.9927909371781668,39
sigmoid,0.9557157569515963,39
linear,1.0,40
poly,0.9979402677651905,40
rbf,0.9948506694129763,40
sigmoid,0.9618949536560247,40
linear,1.0,41
poly,0.9938208032955715,41
rbf,0.9979402677651905,41
sigmoid,0.9680741503604532,41
linear,1.0,42
poly,0.9979402677651905,42
rbf,0.9979402677651905,42
sigmoid,0.9598352214212152,42
linear,1.0,43
poly,0.9917610710607621,43
rbf,0.995880535530381,43
sigmoid,0.937178166838311,43
linear,1.0,44
poly,0.995880535530381,44
rbf,0.9969104016477858,44
sigmoid,0.9505664263645726,44
linear,1.0,45
poly,0.9876416065911432,45
rbf,0.995880535530381,45
sigmoid,0.956745623069001,45
linear,1.0,46
poly,0.9927909371781668,46
rbf,0.9948506694129763,46
sigmoid,0.9485066941297632,46
linear,1.0,47
poly,0.9897013388259527,47
rbf,0.9948506694129763,47
sigmoid,0.952626158599382,47
linear,1.0,48
poly,0.9886714727085479,48
rbf,0.9979402677651905,48
sigmoid,0.952626158599382,48
linear,1.0,49
poly,0.9979402677651905,49
rbf,0.9948506694129763,49
sigmoid,0.9515962924819773,49
